tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2016-W-C10-AUT-03A-2016,14-2016-W-C10-AUT-03A-2016,202451,215010,7-6(2) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1077.0,7.0,1024.0,8.0
2016-W-C10-AUT-03A-2016,15-2016-W-C10-AUT-03A-2016,204388,216098,6-1 7-6(1),3,R32,,,,,,,,,,,,,,,,,,,,758.0,21.0,,
2016-W-C10-AUT-03A-2016,16-2016-W-C10-AUT-03A-2016,211775,216145,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,828.0,16.0,,
2016-W-C10-AUT-03A-2016,17-2016-W-C10-AUT-03A-2016,213628,215420,7-5 6-2,3,R16,,,,,,,,,,,,,,,,,,,,416.0,84.0,1254.0,3.0
2016-W-C10-AUT-03A-2016,18-2016-W-C10-AUT-03A-2016,215386,204352,4-1 RET,3,R16,,,,,,,,,,,,,,,,,,,,878.0,14.0,1134.0,5.0
2016-W-C10-AUT-03A-2016,19-2016-W-C10-AUT-03A-2016,215192,214123,6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,,1111.0,6.0,545.0,49.0
2016-W-C10-AUT-03A-2016,20-2016-W-C10-AUT-03A-2016,203284,211283,6-4 7-6(4),3,R16,,,,,,,,,,,,,,,,,,,,601.0,38.0,804.0,18.0
2016-W-C10-AUT-03A-2016,21-2016-W-C10-AUT-03A-2016,214460,211330,6-4 3-6 6-1,3,R16,,,,,,,,,,,,,,,,,,,,590.0,40.0,765.0,20.0
2016-W-C10-AUT-03A-2016,22-2016-W-C10-AUT-03A-2016,214818,210758,6-1 6-0,3,R16,,,,,,,,,,,,,,,,,,,,684.0,28.0,,
2016-W-C10-AUT-03A-2016,23-2016-W-C10-AUT-03A-2016,202451,206248,7-5 6-3,3,R16,,,,,,,,,,,,,,,,,,,,1077.0,7.0,595.0,39.0
2016-W-C10-AUT-03A-2016,24-2016-W-C10-AUT-03A-2016,204388,211775,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,,758.0,21.0,828.0,16.0
2016-W-C10-AUT-03A-2016,25-2016-W-C10-AUT-03A-2016,215386,213628,6-7(1) 6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,878.0,14.0,416.0,84.0
2016-W-C10-AUT-03A-2016,26-2016-W-C10-AUT-03A-2016,203284,215192,6-2 6-3,3,QF,,,,,,,,,,,,,,,,,,,,601.0,38.0,1111.0,6.0
2016-W-C10-AUT-03A-2016,27-2016-W-C10-AUT-03A-2016,214460,214818,3-6 6-3 6-3,3,QF,,,,,,,,,,,,,,,,,,,,590.0,40.0,684.0,28.0
2016-W-C10-AUT-03A-2016,28-2016-W-C10-AUT-03A-2016,202451,204388,6-3 5-7 6-3,3,QF,,,,,,,,,,,,,,,,,,,,1077.0,7.0,758.0,21.0
2016-W-C10-AUT-03A-2016,29-2016-W-C10-AUT-03A-2016,203284,215386,7-6(7) 5-7 6-2,3,SF,,,,,,,,,,,,,,,,,,,,601.0,38.0,878.0,14.0
2016-W-C10-AUT-03A-2016,30-2016-W-C10-AUT-03A-2016,202451,214460,6-3 6-2,3,SF,,,,,,,,,,,,,,,,,,,,1077.0,7.0,590.0,40.0
2016-W-C10-AUT-03A-2016,31-2016-W-C10-AUT-03A-2016,203284,202451,6-1 6-2,3,F,,,,,,,,,,,,,,,,,,,,601.0,38.0,1077.0,7.0
2016-W-C10-AUT-04A-2016,1-2016-W-C10-AUT-04A-2016,201649,216165,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,480.0,62.0,,
2016-W-C10-AUT-04A-2016,2-2016-W-C10-AUT-04A-2016,211283,215967,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,809.0,18.0,1095.0,6.0
2016-W-C10-AUT-04A-2016,3-2016-W-C10-AUT-04A-2016,215507,214861,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2016-W-C10-AUT-04A-2016,4-2016-W-C10-AUT-04A-2016,205123,216166,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,606.0,38.0,,
2016-W-C10-AUT-04A-2016,5-2016-W-C10-AUT-04A-2016,216167,209742,7-6(5) 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2016-W-C10-AUT-04A-2016,6-2016-W-C10-AUT-04A-2016,215420,216098,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,1245.0,3.0,,
2016-W-C10-AUT-04A-2016,7-2016-W-C10-AUT-04A-2016,203457,211772,6-3 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,886.0,14.0,1245.0,3.0
2016-W-C10-AUT-04A-2016,8-2016-W-C10-AUT-04A-2016,214460,214752,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,592.0,40.0,1245.0,3.0
2016-W-C10-AUT-04A-2016,9-2016-W-C10-AUT-04A-2016,214818,210152,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,686.0,28.0,,
2016-W-C10-AUT-04A-2016,10-2016-W-C10-AUT-04A-2016,215010,215013,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,1024.0,8.0,1245.0,3.0
2016-W-C10-AUT-04A-2016,11-2016-W-C10-AUT-04A-2016,211751,216168,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,1016.0,9.0,,
2016-W-C10-AUT-04A-2016,12-2016-W-C10-AUT-04A-2016,213793,210223,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,560.0,45.0,826.0,17.0
2016-W-C10-AUT-04A-2016,13-2016-W-C10-AUT-04A-2016,216157,202925,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,,,776.0,20.0
