player_id,country_ioc,name,sex,ht,hand,year_of_birth
105453,JPN,Kei Nishikori,M,178.0,R,1989.0
106421,RUS,Daniil Medvedev,M,198.0,R,1996.0
104542,FRA,Jo-Wilfried Tsonga,M,188.0,R,1985.0
104871,FRA,Jeremy Chardy,M,188.0,R,1987.0
200282,AUS,Alex De Minaur,M,183.0,R,1999.0
105683,CAN,Milos Raonic,M,196.0,R,1990.0
106034,JPN,Yasutaka Uchiyama,M,183.0,R,1992.0
105777,BUL,Grigor Dimitrov,M,188.0,R,1991.0
106121,JPN,Taro Daniel,M,191.0,R,1993.0
111442,AUS,Jordan Thompson,M,183.0,R,1994.0
104918,GBR,Andy Murray,M,190.0,R,1987.0
200175,SRB,Miomir Kecmanovic,M,183.0,R,1999.0
106401,AUS,Nick Kyrgios,M,193.0,R,1995.0
106378,GBR,Kyle Edmund,M,188.0,R,1995.0
105357,AUS,John Millman,M,183.0,R,1989.0
106045,USA,Denis Kudla,M,180.0,R,1992.0
106423,AUS,Thanasi Kokkinakis,M,196.0,R,1996.0
106109,AUS,Alex Bolt,M,183.0,L,1993.0
200615,AUS,Alexei Popyrin,M,196.0,R,1999.0
105902,AUS,James Duckworth,M,183.0,R,1992.0
104919,ARG,Leonardo Mayer,M,188.0,R,1987.0
105379,SLO,Aljaz Bedene,M,181.0,R,1989.0
105992,USA,Ryan Harrison,M,183.0,R,1992.0
105526,GER,Jan Lennard Struff,M,193.0,R,1990.0
200005,FRA,Ugo Humbert,M,188.0,L,1998.0
106415,JPN,Yoshihito Nishioka,M,170.0,L,1995.0
105815,USA,Tennys Sandgren,M,188.0,R,1991.0
126203,USA,Taylor Fritz,M,193.0,R,1997.0
215018,AUS,Destanee Aiava,F,,R,2000.0
201540,FRA,Kristina Mladenovic,F,184.0,R,1993.0
211279,GBR,Harriet Dart,F,,R,1996.0
211880,AUS,Priscilla Hon,F,,R,1998.0
201545,LAT,Anastasija Sevastova,F,,R,1990.0
201611,AUS,Daria Gavrilova,F,166.0,R,1994.0
201520,CZE,Petra Kvitova,F,183.0,L,1990.0
203389,USA,Danielle Rose Collins,F,178.0,R,1993.0
204426,EST,Anett Kontaveit,F,174.0,R,1995.0
201521,ESP,Carla Suarez Navarro,F,162.0,R,1988.0
201615,UKR,Lesia Tsurenko,F,174.0,R,1989.0
202596,ROU,Mihaela Buzarnescu,F,,L,1988.0
214040,AUS,Kimberly Birrell,F,,U,1998.0
214082,RUS,Darya Kasatkina,F,170.0,R,1997.0
201662,CZE,Karolina Pliskova,F,184.0,R,1992.0
201709,KAZ,Yulia Putintseva,F,163.0,R,1995.0
213631,CZE,Marie Bouzkova,F,180.0,R,1998.0
201325,AUS,Samantha Stosur,F,172.0,R,1984.0
201548,AUS,Ajla Tomljanovic,F,,R,1993.0
211701,CZE,Katerina Siniakova,F,174.0,R,1996.0
202427,GBR,Johanna Konta,F,180.0,R,1991.0
201585,USA,Sloane Stephens,F,170.0,R,1993.0
202428,NED,Kiki Bertens,F,182.0,R,1991.0
210722,BEL,Elise Mertens,F,179.0,R,1995.0
202499,CRO,Donna Vekic,F,,R,1996.0
201517,SVK,Magdalena Rybarikova,F,180.0,R,1988.0
205925,BLR,Aliaksandra Sasnovich,F,,R,1994.0
215713,RUS,Anastasia Potapova,F,,R,2001.0
211768,JPN,Naomi Osaka,F,180.0,R,1997.0
202494,UKR,Elina Svitolina,F,174.0,R,1994.0
106216,USA,Bjorn Fratangelo,M,183.0,R,1993.0
117360,AUS,Marc Polmans,M,188.0,R,1997.0
124187,USA,Reilly Opelka,M,211.0,R,1997.0
105166,CAN,Peter Polansky,M,180.0,R,1988.0
106426,CHI,Cristian Garin,M,185.0,R,1996.0
106331,AUS,Christopher O'Connell,M,183.0,R,1994.0
105974,AUS,Maverick Banes,M,,R,1992.0
105441,AUS,John Patrick Smith,M,,L,1989.0
134329,AUS,Blake Ellis,M,,U,1999.0
111153,USA,Christopher Eubanks,M,201.0,R,1996.0
105614,USA,Bradley Klahn,M,190.0,L,1990.0
216146,UKR,Marta Kostyuk,F,,R,2002.0
201586,GBR,Heather Watson,F,170.0,R,1992.0
202424,SUI,Conny Perrin,F,,R,1990.0
203530,SUI,Viktorija Golubic,F,,R,1992.0
206362,AUS,Naiktha Bains,F,,R,1997.0
211684,POL,Magdalena Frech,F,,R,1997.0
211095,USA,Bernarda Pera,F,,L,1994.0
203462,UKR,Kateryna Kozlova,F,,R,1994.0
213530,USA,Allie Kiick,F,,R,1995.0
214452,USA,Caroline Dolehide,F,,R,1998.0
201556,CZE,Lucie Hradecka,F,177.0,R,1985.0
215337,SRB,Olga Danilovic,F,,L,2001.0
201492,GER,Andrea Petkovic,F,180.0,R,1987.0
214863,RUS,Sofya Zhuk,F,,R,1999.0
202484,USA,Nicole Gibbs,F,,R,1993.0
211941,AUS,Zoe Hives,F,,U,1996.0
201518,BEL,Yanina Wickmayer,F,182.0,R,1989.0
214096,CZE,Karolina Muchova,F,178.0,R,1996.0
211878,AUS,Lizette Cabrera,F,,R,1997.0
215035,UKR,Dayana Yastremska,F,175.0,R,2000.0
201478,USA,Varvara Lepchenko,F,180.0,L,1986.0
201605,LUX,Mandy Minella,F,180.0,R,1985.0
201597,JPN,Kurumi Nara,F,155.0,R,1991.0
201447,USA,Vania King,F,165.0,R,1989.0
202600,BUL,Viktoriya Tomova,F,,R,1995.0
206108,USA,Jennifer Brady,F,178.0,R,1995.0
201539,USA,Christina Mchale,F,170.0,R,1992.0
202434,SRB,Aleksandra Krunic,F,,R,1993.0
105138,ESP,Roberto Bautista Agut,M,183.0,R,1988.0
104607,CZE,Tomas Berdych,M,196.0,R,1985.0
104925,SRB,Novak Djokovic,M,188.0,R,1987.0
106065,ITA,Marco Cecchinato,M,185.0,R,1992.0
105932,GEO,Nikoloz Basilashvili,M,185.0,R,1992.0
104527,SUI,Stan Wawrinka,M,183.0,R,1985.0
105583,SRB,Dusan Lajovic,M,180.0,R,1990.0
105732,FRA,Pierre Hugues Herbert,M,188.0,R,1991.0
105916,HUN,Marton Fucsovics,M,188.0,R,1992.0
126094,RUS,Andrey Rublev,M,188.0,R,1997.0
111797,CHI,Nicolas Jarry,M,198.0,R,1995.0
104198,ESP,Guillermo Garcia Lopez,M,188.0,R,1983.0
105575,LTU,Ricardas Berankis,M,175.0,R,1990.0
105550,ARG,Guido Pella,M,185.0,L,1990.0
104269,ESP,Fernando Verdasco,M,188.0,L,1983.0
109739,GER,Maximilian Marterer,M,191.0,L,1995.0
106000,BIH,Damir Dzumhur,M,172.0,R,1992.0
105657,ROU,Marius Copil,M,193.0,R,1990.0
104312,ITA,Andreas Seppi,M,190.0,R,1984.0
105077,ESP,Albert Ramos,M,188.0,L,1988.0
111575,RUS,Karen Khachanov,M,198.0,R,1996.0
104898,NED,Robin Haase,M,190.0,R,1987.0
122570,QAT,Mubarak Shannan Zayid,M,,U,1995.0
126610,ITA,Matteo Berrettini,M,196.0,R,1996.0
105676,BEL,David Goffin,M,180.0,R,1990.0
105173,FRA,Adrian Mannarino,M,183.0,L,1988.0
117356,TUR,Cem Ilkel,M,185.0,R,1995.0
104660,UKR,Sergiy Stakhovsky,M,193.0,R,1986.0
103893,ITA,Paolo Lorenzi,M,183.0,R,1981.0
104259,GER,Philipp Kohlschreiber,M,178.0,R,1983.0
105376,GER,Peter Gojowczyk,M,185.0,R,1989.0
106233,AUT,Dominic Thiem,M,185.0,R,1993.0
110602,AUT,Dennis Novak,M,183.0,R,1993.0
106325,QAT,Jabor Al Mutawa,M,,U,1994.0
104571,CYP,Marcos Baghdatis,M,183.0,R,1985.0
104586,CZE,Lukas Rosol,M,196.0,R,1985.0
104868,GBR,James Ward,M,190.0,R,1987.0
126237,ITA,Gian Marco Moroni,M,,R,1998.0
105806,BIH,Mirza Basic,M,188.0,R,1991.0
104897,GER,Matthias Bachinger,M,188.0,R,1987.0
105477,ARG,Marco Trungelliti,M,180.0,R,1990.0
110476,QAT,Mousa Shanan Zayed,M,,U,1994.0
105063,ITA,Andrea Arnaboldi,M,180.0,L,1987.0
104731,RSA,Kevin Anderson,M,203.0,R,1986.0
103333,CRO,Ivo Karlovic,M,208.0,R,1979.0
104468,FRA,Gilles Simon,M,183.0,R,1984.0
104327,BEL,Steve Darcis,M,178.0,R,1984.0
144719,ESP,Jaume Munar,M,183.0,R,1997.0
105332,FRA,Benoit Paire,M,196.0,R,1989.0
104291,TUN,Malek Jaziri,M,185.0,R,1984.0
105208,LAT,Ernests Gulbis,M,190.0,R,1988.0
111513,SRB,Laslo Djere,M,188.0,R,1995.0
104620,ITA,Simone Bolelli,M,183.0,R,1985.0
125802,BLR,Ilya Ivashka,M,193.0,R,1994.0
106210,CZE,Jiri Vesely,M,198.0,L,1993.0
111581,USA,Michael Mmoh,M,185.0,R,1998.0
106368,IND,Ramkumar Ramanathan,M,188.0,R,1994.0
105539,RUS,Evgeny Donskoy,M,185.0,R,1990.0
111202,KOR,Hyeon Chung,M,188.0,R,1996.0
111459,IND,Arjun Kadhe,M,,R,1994.0
104797,UZB,Denis Istomin,M,188.0,R,1986.0
105430,MDA,Radu Albot,M,175.0,R,1989.0
128034,POL,Hubert Hurkacz,M,196.0,R,1997.0
126156,FRA,Antoine Hoang,M,,R,1995.0
106329,BRA,Thiago Monteiro,M,183.0,L,1994.0
106148,ESP,Roberto Carballes Baena,M,183.0,R,1993.0
105432,IND,Prajnesh Gunneswaran,M,188.0,L,1989.0
104719,ESP,Marcel Granollers,M,190.0,R,1986.0
104665,ESP,Pablo Andujar,M,180.0,R,1986.0
200000,CAN,Felix Auger Aliassime,M,193.0,R,2000.0
105155,POR,Pedro Sousa,M,180.0,R,1988.0
106078,BLR,Egor Gerasimov,M,196.0,R,1992.0
104593,ESP,Daniel Gimeno Traver,M,185.0,R,1985.0
105031,IND,Saketh Myneni,M,193.0,R,1987.0
105359,TPE,Jason Jung,M,180.0,R,1989.0
105413,SVK,Andrej Martin,M,180.0,R,1989.0
104978,GER,Daniel Brands,M,196.0,R,1987.0
111790,CAN,Brayden Schnur,M,193.0,R,1995.0
124116,AUT,Sebastian Ofner,M,191.0,R,1996.0
105074,BEL,Ruben Bemelmans,M,183.0,L,1988.0
106420,ITA,Gianluigi Quinzi,M,191.0,L,1996.0
124154,IND,Sasi Kumar Mukund,M,185.0,R,1997.0
105656,ESA,Marcelo Arevalo,M,191.0,R,1990.0
111815,GBR,Cameron Norrie,M,188.0,L,1996.0
105807,ESP,Pablo Carreno Busta,M,188.0,R,1992.0
104926,ITA,Fabio Fognini,M,178.0,R,1988.0
104545,USA,John Isner,M,206.0,R,1986.0
105311,POR,Joao Sousa,M,185.0,R,1990.0
103970,ESP,David Ferrer,M,175.0,R,1983.0
104907,NZL,Jose Rubin Statham,M,183.0,R,1988.0
133430,CAN,Denis Shapovalov,M,185.0,L,2000.0
105449,USA,Steve Johnson,M,188.0,R,1990.0
111456,USA,Mackenzie McDonald,M,178.0,R,1996.0
104655,URU,Pablo Cuevas,M,180.0,R,1986.0
104547,ARG,Horacio Zeballos,M,188.0,L,1986.0
105047,GER,Tim Puetz,M,185.0,R,1988.0
103565,FRA,Stephane Robert,M,185.0,R,1981.0
104667,AUT,Philipp Oswald,M,201.0,R,1987.0
105341,ITA,Thomas Fabbiano,M,173.0,R,1990.0
110686,NZL,Finn Tearney,M,183.0,R,1991.0
