tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,tourney_spectators,tourney_revenue
2019-M020,Brisbane,Hard,32,A,0,3928,742618.69
2019-0451,Doha,Hard,32,A,0,2923,550943.19
2019-0891,Pune,Hard,32,A,0,4062,1005592.39
2019-0301,Auckland,Hard,32,A,1,2784,489426.09
2019-M001,Sydney,Hard,32,A,1,3258,567644.24
2019-580,Australian Open,Hard,128,G,2,15583,2781000.18
2019-9158,Cordoba,Clay,32,A,3,3768,579745.3
2019-0375,Montpellier,Hard,32,A,3,4656,894200.18
2019-7434,Sofia,Hard,32,A,3,4409,924807.77
2019-0506,Buenos Aires,Clay,32,A,4,3419,715417.26
2019-0424,New York,Hard,32,A,4,3308,645211.09
2019-0407,Rotterdam,Hard,32,A,4,3305,696724.19
2019-0499,Delray Beach,Hard,32,A,5,3058,607459.69
2019-0496,Marseille,Hard,32,A,5,3699,902932.55
2019-6932,Rio de Janeiro,Clay,32,A,5,2392,529903.18
2019-M004,Acapulco,Hard,32,A,6,3398,655207.08
2019-0495,Dubai,Hard,32,A,6,2559,548939.11
2019-0533,Sao Paulo,Clay,32,A,6,2974,539517.41
2019-M006,Indian Wells Masters,Hard,128,M,7,9552,2484975.25
2019-M007,Miami Masters,Hard,128,M,8,15751,1758612.85
2019-0717,Houston,Clay,32,A,9,4027,692693.85
2019-0360,Marrakech,Clay,32,A,9,2657,496815.47
2019-0410,Monte Carlo Masters,Clay,64,M,10,5172,1598960.12
2019-0425,Barcelona,Clay,64,A,11,8062,1627641.8
2019-7648,Budapest,Clay,32,A,11,2857,471165.25
2019-7290,Estoril,Clay,32,A,12,3670,793863.05
2019-0308,Munich,Clay,32,A,12,3053,691352.85
2019-M021,Madrid Masters,Clay,64,M,13,7075,1713855.57
2019-M009,Rome Masters,Clay,64,M,14,7672,1673097.12
2019-0322,Geneva,Clay,32,A,15,2531,616606.53
2019-7694,Lyon,Clay,32,A,15,4132,915008.72
2019-520,Roland Garros,Clay,128,G,16,14419,1888254.93
2019-M010,s Hertogenbosch,Grass,32,A,17,2462,487848.44
2019-0321,Stuttgart,Grass,32,A,17,3880,716385.4
2019-0500,Halle,Grass,32,A,18,2102,389978.71
2019-0311,Queen's Club,Grass,32,A,18,2768,592602.65
2019-7650,Antalya,Grass,32,A,19,3138,639718.34
2019-M016,Eastbourne,Grass,32,A,19,4516,868154.79
2019-540,Wimbledon,Grass,128,G,20,8964,1498510.45
2019-0316,Bastad,Clay,32,A,21,2119,419886.23
2019-0315,Newport,Grass,32,A,21,2909,625805.78
2019-0439,Umag,Clay,32,A,21,2651,459557.6
2019-6116,Atlanta,Hard,32,A,22,3669,852063.31
2019-0314,Gstaad,Clay,32,A,22,1459,260087.95
2019-0414,Hamburg,Clay,32,A,22,3870,831701.11
2019-0319,Kitzbuhel,Clay,32,A,23,3611,624969.91
2019-7480,Los Cabos,Hard,32,A,23,2978,510534.39
2019-M035,Washington,Hard,64,A,23,6392,1337233.1
2019-0421,Canada Masters,Hard,64,M,24,8154,1716294.21
2019-M024,Cincinnati Masters,Hard,64,M,25,7759,1692353.55
2019-6242,Winston-Salem,Hard,64,A,26,8105,1063952.13
2019-560,US Open,Hard,128,G,27,17634,4672240.98
2019-0341,Metz,Hard,32,A,28,4106,760068.61
2019-0568,St. Petersburg,Hard,32,A,28,3677,786799.61
2019-7581,Chengdu,Hard,32,A,29,3014,675918.4
2019-9164,Zhuhai,Hard,32,A,29,3800,911940.46
2019-M015,Beijing,Hard,32,A,30,8346,1125679.32
2019-0329,Tokyo,Hard,32,A,30,2074,370565.03
2019-5014,Shanghai Masters,Hard,64,M,31,7091,1673300.47
2019-7485,Antwerp,Hard,32,A,32,3312,742679.43
2019-M014,Moscow,Hard,32,A,32,2923,593396.26
2019-0429,Stockholm,Hard,32,A,32,3701,736769.9
2019-0328,Basel,Hard,32,A,33,2733,644586.24
2019-0337,Vienna,Hard,32,A,33,3267,691345.81
2019-0352,Paris Masters,Hard,64,M,34,5122,1180956.19
2019-0605,Tour Finals,Hard,8,F,35,640,129706.65
2019-M-DC-2019-FLS-A-M-FRA-JPN-01,Davis Cup Finals RR: FRA vs JPN,Hard,4,D,36,382,78384.44
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,Davis Cup Finals RR: FRA vs SRB,Hard,4,D,37,422,79002.6
2019-M-DC-2019-FLS-A-M-SRB-JPN-01,Davis Cup Finals RR: SRB vs JPN,Hard,4,D,38,347,71870.46
2019-M-DC-2019-FLS-B-M-CRO-ESP-01,Davis Cup Finals RR: CRO vs ESP,Hard,4,D,38,349,69606.6
2019-M-DC-2019-FLS-B-M-CRO-RUS-01,Davis Cup Finals RR: CRO vs RUS,Hard,4,D,39,303,60666.93
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,Davis Cup Finals RR: ESP vs RUS,Hard,4,D,36,216,42617.03
2019-M-DC-2019-FLS-C-M-ARG-CHI-01,Davis Cup Finals RR: ARG vs CHI,Hard,4,D,36,424,81710.8
2019-M-DC-2019-FLS-C-M-ARG-GER-01,Davis Cup Finals RR: ARG vs GER,Hard,4,D,38,406,78649.09
2019-M-DC-2019-FLS-C-M-GER-CHI-01,Davis Cup Finals RR: GER vs CHI,Hard,4,D,37,487,89693.55
2019-M-DC-2019-FLS-D-M-AUS-COL-01,Davis Cup Finals RR: AUS vs COL,Hard,4,D,36,322,67110.03
2019-M-DC-2019-FLS-D-M-BEL-AUS-01,Davis Cup Finals RR: BEL vs AUS,Hard,4,D,38,442,91331.93
2019-M-DC-2019-FLS-D-M-BEL-COL-01,Davis Cup Finals RR: BEL vs COL,Hard,4,D,39,482,90783.1
2019-M-DC-2019-FLS-E-M-GBR-KAZ-01,Davis Cup Finals RR: GBR vs KAZ,Hard,4,D,37,376,81737.7
2019-M-DC-2019-FLS-E-M-GBR-NED-01,Davis Cup Finals RR: GBR vs NED,Hard,4,D,38,325,65458.13
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,Davis Cup Finals RR: KAZ vs NED,Hard,4,D,36,506,99118.62
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,Davis Cup Finals RR: ITA vs CAN,Hard,4,D,39,354,68381.35
2019-M-DC-2019-FLS-F-M-USA-CAN-01,Davis Cup Finals RR: USA vs CAN,Hard,4,D,36,378,79630.12
2019-M-DC-2019-FLS-F-M-USA-ITA-01,Davis Cup Finals RR: USA vs ITA,Hard,4,D,38,386,83211.54
2019-M-DC-2019-FLS-M-ARG-ESP-01,Davis Cup Finals QF: ARG vs ESP,Hard,4,D,40,320,64523.12
2019-M-DC-2019-FLS-M-AUS-CAN-01,Davis Cup Finals QF: AUS vs CAN,Hard,4,D,37,479,90324.59
2019-M-DC-2019-FLS-M-CAN-ESP-01,Davis Cup Finals F: CAN vs ESP,Hard,4,D,41,386,78480.44
2019-M-DC-2019-FLS-M-GBR-ESP-01,Davis Cup Finals SF: GBR vs ESP,Hard,4,D,42,448,85983.72
2019-M-DC-2019-FLS-M-GBR-GER-01,Davis Cup Finals QF: GBR vs GER,Hard,4,D,40,366,70949.87
2019-M-DC-2019-FLS-M-RUS-CAN-01,Davis Cup Finals SF: RUS vs CAN,Hard,4,D,42,299,62005.99
2019-M-DC-2019-FLS-M-SRB-RUS-01,Davis Cup Finals QF: SRB vs RUS,Hard,4,D,40,292,57149.75
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,Davis Cup G1 R1: BRA vs BAR,Clay,4,D,43,411,84236.84
2019-M-DC-2019-G1-AM-M-DOM-URU-01,Davis Cup G1 R1: DOM vs URU,Clay,4,D,44,364,74967.86
2019-M-DC-2019-G1-AM-M-ECU-VEN-01,Davis Cup G1 R1: ECU vs VEN,Hard,4,D,44,471,91677.72
2019-M-DC-2019-G1-AO-M-CHN-KOR-01,Davis Cup G1 R1: CHN vs KOR,Hard,4,D,44,329,68153.35
2019-M-DC-2019-G1-AO-M-UZB-LBN-01,Davis Cup G1 R1: UZB vs LBN,Clay,4,D,43,356,77671.89
2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,Davis Cup G1 R1: AUT vs FIN,Hard,4,D,43,348,70864.71
2019-M-DC-2019-G1-EPA-M-CZE-BIH-01,Davis Cup G1 R1: CZE vs BIH,Hard,4,D,44,288,57908.78
2019-M-DC-2019-G1-EPA-M-HUN-UKR-01,Davis Cup G1 R1: HUN vs UKR,Clay,4,D,44,329,67571.0
2019-M-DC-2019-G1-EPA-M-POR-BLR-01,Davis Cup G1 R1: POR vs BLR,Hard,4,D,43,456,88676.63
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,Davis Cup G1 R1: SUI vs SVK,Clay,4,D,43,368,72817.6
2019-M-DC-2019-G1-EPA-M-SWE-ISR-01,Davis Cup G1 R1: SWE vs ISR,Hard,4,D,43,384,71292.51
2019-M-DC-2019-G2-AM-M-GUA-BOL-01,Davis Cup G2 R1: GUA vs BOL,Hard,4,D,43,364,75349.09
