country_ioc,average,win_num,name
ALG,13.714285714285714,78,Ines Ibbou                                                            
ARG,33.386861313868614,211,Facundo Bagnis                                                        
ARG,33.386861313868614,48,Stephanie Mariel Petit                                                
ARG,33.386861313868614,83,Pedro Cachin                                                          
ARG,33.386861313868614,94,Juan Martin del Potro                                                 
ARG,33.386861313868614,123,Andrea Collarini                                                      
ARG,33.386861313868614,114,Carlos Berlocq                                                        
ARG,33.386861313868614,184,Diego Schwartzman                                                     
ARG,33.386861313868614,110,Leonardo Mayer                                                        
ARG,33.386861313868614,157,Guido Andreozzi                                                       
ARG,33.386861313868614,37,Martina Capurro Taborda                                               
ARG,33.386861313868614,72,Tomas Martin Etcheverry                                               
ARG,33.386861313868614,54,Camilo Ugo Carabelli                                                  
ARG,33.386861313868614,46,Melany Solange Krywoj                                                 
ARG,33.386861313868614,125,Guido Pella                                                           
ARG,33.386861313868614,55,Maximo Gonzalez                                                       
ARG,33.386861313868614,50,Eugenia Ganga                                                         
ARG,33.386861313868614,172,Federico Coria                                                        
ARG,33.386861313868614,134,Renzo Olivo                                                           
ARG,33.386861313868614,42,Sofia Luini                                                           
ARG,33.386861313868614,109,Catalina Pella                                                        
ARG,33.386861313868614,68,Facundo Mena                                                          
ARG,33.386861313868614,113,Victoria Bosio                                                        
ARG,33.386861313868614,130,Marco Trungelliti                                                     
ARG,33.386861313868614,82,Horacio Zeballos                                                      
ARG,33.386861313868614,50,Guillermina Naya                                                      
ARG,33.386861313868614,109,Nicolas Kicker                                                        
ARG,33.386861313868614,36,Juan Manuel Cerundolo                                                 
ARG,33.386861313868614,162,Federico Delbonis                                                     
ARG,33.386861313868614,70,Francisco Cerundolo                                                   
ARG,33.386861313868614,81,Julieta Lara Estable                                                  
ARG,33.386861313868614,159,Nadia Podoroska                                                       
ARG,33.386861313868614,47,Jazmin Ortenzi                                                        
ARG,33.386861313868614,36,Sebastian Baez                                                        
ARG,33.386861313868614,74,Facundo Arguello                                                      
ARG,33.386861313868614,63,Juan Pablo Ficovich                                                   
ARG,33.386861313868614,163,Juan Ignacio Londero                                                  
ARG,33.386861313868614,60,Carla Lucero                                                          
ARG,33.386861313868614,119,Paula Ormaechea                                                       
ARG,33.386861313868614,42,Guadalupe Perez Rojas                                                 
ARG,33.386861313868614,79,Agustin Velotti                                                       
ARG,33.386861313868614,93,Maria Lourdes Carle                                                   
ARG,33.386861313868614,35,Juan Pablo Paz                                                        
ARM,17.333333333333332,49,Ani Amiraghyan                                                        
AUS,28.818181818181817,41,Olivia Gadecki                                                        
AUS,28.818181818181817,33,Tammi Patterson                                                       
AUS,28.818181818181817,91,Nick Kyrgios                                                          
AUS,28.818181818181817,84,Christopher O'Connell                                                 
AUS,28.818181818181817,66,Abbie Myers                                                           
AUS,28.818181818181817,99,Naiktha Bains                                                         
AUS,28.818181818181817,33,Harry Bourchier                                                       
AUS,28.818181818181817,88,Marinko Matosevic                                                     
AUS,28.818181818181817,37,Matthew Barton                                                        
AUS,28.818181818181817,81,Samantha Stosur                                                       
AUS,28.818181818181817,104,Max Purcell                                                           
AUS,28.818181818181817,191,Jordan Thompson                                                       
AUS,28.818181818181817,39,Bradley Mousley                                                       
AUS,28.818181818181817,55,Maverick Banes                                                        
AUS,28.818181818181817,114,Matthew Ebden                                                         
AUS,28.818181818181817,100,John Patrick Smith                                                    
AUS,28.818181818181817,34,Jacob Grills                                                          
AUS,28.818181818181817,104,Astra Sharma                                                          
AUS,28.818181818181817,110,Akira Santillan                                                       
AUS,28.818181818181817,144,John Millman                                                          
AUS,28.818181818181817,56,Storm Sanders                                                         
AUS,28.818181818181817,33,Kimberly Birrell                                                      
AUS,28.818181818181817,85,Ellen Perez                                                           
