;;Winner Rank Points;prev_rank;perc;;;
2017;Abbie Myers;310;386;-19.69%;;;
2017;Abhinav Sanjeev Shanmugam;3;1;200.00%;;;
2017;Abigail Desiatnikov;0;0;(null);;;
2017;Abigail Tere Apisah;2023;303;567.66%;;;
2017;Adam El Mihdawy;501;191;162.30%;;;
2017;Adam Pavlasek;8939;24502;-63.52%;;;
2017;Adelchi Virgili;704;185;280.54%;;;
2017;Adithya Karunaratne;0;(null);(null);;;
2017;Adna Sofradzija;0;0;(null);;;
2017;Adrian Bodmer;44;4;1000.00%;;;
2017;Adrian Mannarino;29383;22039;33.32%;;;
2017;Adrian Menendez Maceiras;10676;6883;55.11%;;;
2017;Adrian Ungur;1496;4356;-65.66%;;;
2017;Adriana Guzman;0;(null);(null);;;
2017;Adriana Perez;0;(null);(null);;;
2017;Adriana Sosnovschi;145;14;935.71%;;;
2017;Adrianna Sosnowska;0;(null);(null);;;
2017;Adrien Bossel;315;1553;-79.72%;;;
2017;Agnes Bukta;2867;2160;32.73%;;;
2017;Agnieszka Radwanska;72520;242110;-70.05%;;;
2017;Agustin Velotti;2284;7079;-67.74%;;;
2017;Agustina Chlpac;0;0;(null);;;
2017;Aida Kalimullina;0;(null);(null);;;
2017;Aidan Mchugh;3269;7236;-54.82%;;;
2017;Aiko Yoshitomi;255;178;43.26%;;;
2017;Aimee Tarun;0;(null);(null);;;
2017;Ainhoa Atucha Gomez;165;350;-52.86%;;;
2017;Aisam Ul Haq Qureshi;0;(null);(null);;;
2017;Ajla Tomljanovic;7119;(null);(null);;;
2017;Akari Inoue;76;114;-33.33%;;;
2017;Akgul Amanmuradova;1274;1130;12.74%;;;
2017;Aki Yamasoto;22;151;-85.43%;;;
2017;Akiho Kakuya;14;0;(null);;;
2017;Akiko Okuda;3;(null);(null);;;
2017;Akiko Omae;3012;3393;-11.23%;;;
2017;Akilah James;199;32;521.88%;;;
2017;Akira Santillan;11702;2138;447.33%;;;
2017;Alan Kohen;3;(null);(null);;;
2017;Alba Carrillo Marin;305;233;30.90%;;;
2017;Albano Olivetti;1602;622;157.56%;;;
2017;Albert Montanes;472;11423;-95.87%;;;
2017;Albert Ramos;40310;22536;78.87%;;;
2017;Alberta Brianti;603;754;-20.03%;;;
2017;Alberto Lim;0;(null);(null);;;
2017;Albina Khabibulina;566;47;1104.26%;;;
2017;Aldila Sutjiadi;18;(null);(null);;;
2017;Aldin Setkic;5653;4850;16.56%;;;
2017;Alejandro Davidovich Fokina;224;(null);(null);;;
2017;Alejandro Falla;2003;6127;-67.31%;;;
2017;Alejandro Gomez Gb42;464;361;28.53%;;;
2017;Alejandro Gonzalez;1669;8038;-79.24%;;;
2017;Alejandro Mendoza;8;(null);(null);;;
2017;Alejandro Tabilo;70;(null);(null);;;
2017;Aleksandar Vukic;392;294;33.33%;;;
2017;Aleksandr Nedovyesov;5036;9555;-47.29%;;;
2017;Aleksandra Efremova;0;(null);(null);;;
2017;Aleksandra Karamanoleva;0;(null);(null);;;
2017;Aleksandra Krunic;23918;13759;73.84%;;;
2017;Aleksandra Kulik;0;0;(null);;;
2017;Aleksandra Pitak;0;(null);(null);;;
2017;Aleksandra Pospelova;560;514;8.95%;;;
2017;Aleksandra Vostrikova;124;96;29.17%;;;
2017;Aleksandra Wozniak;2516;1095;129.77%;;;
2017;Aleksandrina Naydenova;2051;4634;-55.74%;;;
2017;Alena Tarasova;633;1638;-61.36%;;;
2017;Alessandra Mecchi De Oliveira Silva;0;(null);(null);;;
2017;Alessandro Bega;1614;2078;-22.33%;;;
2017;Alessandro Giannessi;12453;10415;19.57%;;;
2017;Alessandro Luisi;14;(null);(null);;;
2017;Alessandro Petrone;48;4;1100.00%;;;
2017;Alessia Di Pietro;0;0;(null);;;
2017;Alessia Piran;11;4;175.00%;;;
2017;Alex Bolt;4039;1328;204.14%;;;
2017;Alex De Minaur;5229;727;619.26%;;;
2017;Alex Lawson;0;(null);(null);;;
2017;Alex Molcan;363;114;218.42%;;;
2017;Alex Rybakov;392;51;668.63%;;;
2017;Alexa Glatch;21;369;-94.31%;;;
2017;Alexa Graham;65;357;-81.79%;;;
2017;Alexa Guarachi;673;0;(null);;;
2017;Alexa Pirok;99;19;421.05%;;;
2017;Alexa Ryngler;28;(null);(null);;;
2017;Alexandar Lazarov;56;0;(null);;;
2017;Alexandar Lazov;1075;292;268.15%;;;
2017;Alexander Babanine;6;4;50.00%;;;
2017;Alexander Brown;3;(null);(null);;;
2017;Alexander Bublik;15471;1730;794.28%;;;
2017;Alexander Bury;5;0;(null);;;
2017;Alexander Kudryavtsev;842;9927;-91.52%;;;
2017;Alexander Lobkov;34;29;17.24%;;;
2017;Alexander Mannapov;1;(null);(null);;;
2017;Alexander Merino;5;(null);(null);;;
