;;;Loser Rank Points;tot_rank;perc
Africa;2016;Kevin Anderson;18830;59425;31.69%
Africa;2016;Malek Jaziri;14648;59425;24.65%
Africa;2017;Kevin Anderson;18910;69300;27.29%
Africa;2017;Malek Jaziri;16633;69300;24.00%
Africa;2017;Ons Jabeur;10481;69300;15.12%
Africa;2018;Kevin Anderson;69120;138425;49.93%
Africa;2018;Malek Jaziri;25603;138425;18.50%
Africa;2019;Kevin Anderson;16100;79308;20.30%
Africa;2019;Lloyd Harris;16932;79308;21.35%
Africa;2019;Malek Jaziri;18409;79308;23.21%
Africa;2019;Ons Jabeur;11948;79308;15.07%
Africa;2020;Kevin Anderson;5085;43316;11.74%
Africa;2020;Lloyd Harris;9938;43316;22.94%
Africa;2020;Mohamed Safwat;6180;43316;14.27%
Africa;2020;Ons Jabeur;8599;43316;19.85%
Africa;2021;Kevin Anderson;10015;90619;11.05%
Africa;2021;Lloyd Harris;20482;90619;22.60%
Africa;2021;Mayar Sherif;9776;90619;10.79%
Africa;2021;Ons Jabeur;27804;90619;30.68%
Oceania;2016;Daria Gavrilova;24328;227829;10.68%
Oceania;2016;Samantha Stosur;47260;227829;20.74%
Oceania;2017;Daria Gavrilova;35570;253619;14.02%
Oceania;2017;Samantha Stosur;32081;253619;12.65%
Oceania;2020;Alex De Minaur;16720;146318;11.43%
Oceania;2020;Ashleigh Barty;16218;146318;11.08%
Oceania;2020;John Millman;15133;146318;10.34%
Oceania;2021;Alex De Minaur;39255;287134;13.67%
Oceania;2021;Ashleigh Barty;47752;287134;16.63%
